trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-90.7619880664296,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-85.87246531797132,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-60.529436509561975,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-165.35703693516803,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-142.47539891009185,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,0,-49.147911619216295,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",25,0,-73.59157059149382,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-124.96857468465372,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-33.30561176342798,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-200.19435178559536,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-123.86860308479237,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,3,-87.38097848075815,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-171.33612850828217,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-127.34494624270648,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-168.54389098030865,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",30,0,-23.790209127526076,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,1,-170.69682104698214,"{0: 12, 1: 3, 2: 3, 3: 5, 4: 1}",1
